"day","time","location","address","truck_type"
"Tuesday","1130-230P","Playa Vista","12180 Millennium Dr, 90094","Roja"
"Tuesday","6-830P","Sherman Oaks","Ventura Blvd and Calhoun, 91423","Roja"
"Tuesday","930-11P","Northridge","18506 Devonshire St, 91324","Roja"
"Tuesday","1130-230P","Universal","Lankershim Blvd and Valleyheart Dr, 91604","Verde"
"Tuesday","6-9P","Eagle Rock","4372 Eagle Rock Blvd, 90041","Verde"
"Tuesday","10-11P","USC","3303 S Hoover St, 90007","Verde"
"Tuesday","1130-230P","Koreatown","3663 Wilshire Blvd, 90010","Naranja"
"Tuesday","6-9P","Cypress","5800 Lincoln Ave, Cypress","Naranja"
"Tuesday","10-11P","Anaheim, Juke Joint","735 N Anaheim Blvd, Anaheim","Naranja"
"Wednesday","11-1P","Norwalk (Library Parking Lot)","11401 Bloomfield Ave, Norwalk","Roja"
"Wednesday","6-830P","Granada Hills, Sweet Design","17801 Chatsworth St, 91344","Roja"
"Wednesday","930-11P","Santa Clarita","Main St and 9th St, 91321","Roja"
"Wednesday","1130-230P","Santa Monica, Colorado Center Park","Broadway and 26th St, 90404","Verde"
"Wednesday","6-9P","Diamond Bar","1317 S Diamond Bar Blvd, 91765","Verde"
"Wednesday","10-11P","Signal Hill, Quality Inn","3201 E Pacific Coast Hwy, 90755","Verde"
"Wednesday","1130-2P","Irvine, Von Karman","17901 Von Karman, Irvine","Naranja"
"Wednesday","6-9P","Orange, Best Buy","2375 N Tustin St, Orange","Naranja"
"Wednesday","10-11P","Buena Park, Days Inn","7121 Beach Blvd, 90620","Naranja"
"Thursday","1130-230P","No Lunch","Private Event","Roja"
"Thursday","6-830P","No Dinner","Private Event","Roja"
"Thursday","930-11P","Sawtelle","Mississippi Ave and Sawtelle Blvd, 90025","Roja"
"Thursday","1130-230P","West LA","11499 W Olympic blvd, 90025","Verde"
"Thursday","6-830P","Pasadena, Zona Rosa","15 S El Molino Ave, Pasadena","Verde"
"Thursday","930-11P","Rowland Heights","18901 Daisetta St, Rowland Heights","Verde"
"Thursday","11-2P","Santa Ana","1600 East Saint Andrew Place, Santa Ana","Naranja"
"Thursday","6-9P","Alhambra, Honda","1400 W Main St, Alhambra","Naranja"
"Thursday","10-11P","Orange, O'Haras","150 N Glassell St, Orange","Naranja"
"Friday","1130-230P","El Segundo","E Grand Ave and Indiana St, El Segundo","Roja"
"Friday","6-830P","Woodland Hills","6345 Variel Ave, 91367","Roja"
"Friday","930-11P","Granada Hills","Zelzah Ave and Chatsworth St, 91344","Roja"
"Friday","1130-230P","DTLA","300 S Grand Ave, 90012","Verde"
"Friday","6-9P","Long Beach","6000 E Atherton St, 90840","Verde"
"Friday","10-11P","Carson/Long Beach","Wilmington Ave and 220th, 90810","Verde"
"Friday","1130-2p","Orange, Best Buy","2375 N Tustin St, Orange","Naranja"
"Friday","6-9P","Rosemead, UFC","8920 Glendon Way, 91770","Naranja"
"Friday","10-11P","Huntington Beach, The Bee Hive","6431 Edinger Ave, Huntington Beach","Naranja"
"Saturday","1130-230P","Pasadena","N Hill Ave and Locust St, Pasadena","Roja"
"Saturday","6-830P","No Dinner","Private Event","Roja"
"Saturday","1030-1130P","Yogurtland","310 S La Brea Ave, 90036","Roja"
"Saturday","12-4P","Venice, The Brig","1515 Abbot Kinney Blvd, Venice","Verde"
"Saturday","7-9P","Whittier","13839 E Whittier Blvd, 90605","Verde"
"Saturday","10-11P","El Monte","4410 Ellis Lane, 91731","Verde"
"Saturday","10-2PM","Costa Mesa, Farmers Market","3315 Hyland Ave, Costa Mesa","Naranja"
"Saturday","6-9P","No Dinner","Private Event","Naranja"
"Saturday","10-11P","Westminster, Beach Girls","15549 Beach Blvd, Westminster","Naranja"
